Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,173.82,173.75,173.83,173.95,174.07,174.18,174.26,174.22,174.09,174,173.88,173.83
2001,173.75,173.84,173.94,174.02,174.04,174.09,174.03,173.94,173.83,173.8,173.8,173.86
2002,173.85,173.97,174.02,174.2,174.3,174.33,174.24,174.15,174.04,173.95,173.84,173.81
2003,173.81,173.73,173.78,173.97,174.08,174.17,174.18,174.17,174.04,173.92,173.85,173.89
2004,173.94,173.85,173.96,174.12,174.22,174.36,174.34,174.29,174.25,174.07,174,174.01
2005,174.23,174.26,174.29,174.38,174.4,174.32,174.22,174.14,174.08,174,173.88,173.84
2006,173.97,174.06,174.11,174.16,174.2,174.25,174.27,174.23,174.14,174.08,174.1,174.15
2007,174.29,174.22,174.26,174.32,174.35,174.26,174.15,174.13,174.08,173.94,173.8,173.86
2008,173.92,174.09,174.26,174.39,174.35,174.32,174.35,174.23,174.12,174,173.92,173.96
2009,174.04,174.07,174.31,174.42,174.46,174.45,174.42,174.35,174.24,174.13,174.07,174.02
2010,173.99,173.92,173.97,174.09,174.21,174.31,174.27,174.19,174.02,173.97,173.88,173.86
2011,173.83,173.75,174.03,174.2,174.46,174.58,174.48,174.38,174.3,174.27,174.21,174.4
2012,174.39,174.37,174.36,174.31,174.27,174.22,174.14,174.04,173.95,173.82,173.85,173.82
2013,173.82,173.86,173.92,174.02,174.1,174.23,174.35,174.28,174.16,174.07,173.97,173.94
2014,174,173.94,173.99,174.2,174.35,174.4,174.4,174.37,174.31,174.25,174.15,174.17
2015,174.16,174.03,173.99,174.22,174.31,174.53,174.74,174.62,174.5,174.34,174.22,174.17
2016,174.23,174.27,174.41,174.6,174.65,174.61,174.54,174.46,174.39,174.33,174.26,174.17
2017,174.29,174.4,174.47,174.64,174.82,174.83,174.81,174.7,174.59,174.49,174.49,174.44
2018,174.38,174.44,174.68,174.77,174.88,174.89,174.82,174.72,174.66,174.57,174.58,174.6
2019,174.63,174.61,174.65,174.83,175.05,175.14,175.13,175.02,174.87,174.74,174.68,174.68
2020,174.8,174.9,174.95,175.05,175.08,175.1,175.05,174.93,174.83,174.72,174.65,174.65
2021,174.69,174.57,174.58,174.63,174.68,174.71,174.81,174.79,174.67,174.67,174.63,174.58
2022,174.54,174.43,174.53,174.59,174.67,174.68,174.62,174.55,174.46,174.32,174.25,174.2
