Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,175.92,175.87,175.9,175.92,176,176.1,176.13,176.13,176.09,175.98,175.89,175.81
2001,175.77,175.78,175.78,175.85,175.95,176.06,176.05,176.03,176.01,176.03,176.05,176.05
2002,175.99,175.95,175.99,176.06,176.19,176.29,176.33,176.32,176.24,176.14,176.01,175.91
2003,175.82,175.75,175.73,175.82,175.92,176,176.04,176.02,175.94,175.87,175.89,175.9
2004,175.87,175.84,175.9,175.98,176.12,176.31,176.37,176.33,176.28,176.15,176.1,176.08
2005,176.08,176.1,176.1,176.14,176.19,176.21,176.19,176.17,176.09,176,175.93,175.88
2006,175.88,175.92,175.93,176.01,176.09,176.14,176.14,176.13,176.04,175.99,175.94,175.98
2007,176,175.91,175.92,176.02,176.06,176.08,176.05,176,175.95,175.88,175.77,175.68
2008,175.7,175.76,175.78,175.92,176.04,176.16,176.24,176.22,176.18,176.09,176,175.97
2009,176.01,176.01,176.09,176.2,176.34,176.42,176.44,176.44,176.37,176.29,176.27,176.22
2010,176.15,176.11,176.09,176.11,176.13,176.19,176.26,176.24,176.16,176.07,175.96,175.86
2011,175.81,175.78,175.81,175.91,176.1,176.21,176.26,176.24,176.13,176.08,176.07,176.04
2012,175.99,175.96,176,176.03,176.05,176.07,176.04,175.97,175.86,175.74,175.68,175.61
2013,175.57,175.61,175.63,175.75,175.93,176.05,176.09,176.08,176.04,176.01,176.01,175.97
2014,175.95,175.95,175.95,176.06,176.27,176.38,176.46,176.48,176.51,176.54,176.54,176.53
2015,176.51,176.5,176.48,176.53,176.59,176.68,176.73,176.72,176.7,176.58,176.54,176.55
2016,176.57,176.56,176.61,176.77,176.82,176.84,176.84,176.82,176.78,176.69,176.59,176.51
2017,176.47,176.48,176.53,176.66,176.8,176.88,176.99,177,176.93,176.87,176.85,176.79
2018,176.73,176.74,176.76,176.79,176.92,176.98,176.98,176.94,176.94,176.89,176.86,176.83
2019,176.8,176.82,176.85,176.96,177.17,177.31,177.37,177.32,177.27,177.28,177.26,177.24
2020,177.26,177.24,177.22,177.29,177.37,177.44,177.45,177.42,177.34,177.25,177.2,177.14
2021,177.06,176.99,176.94,176.94,176.95,176.93,177,177.01,176.93,176.9,176.77,176.69
2022,176.6,176.54,176.53,176.66,176.75,176.8,176.81,176.79,176.71,176.6,176.55,176.46
