Lake Superior - Mean Water Level,,,,,,,,,,,,
Units: meters,,,,,,,,,,,,
"Summary: The coordinated monthly mean lakewide average water levels are calculated using the coordinated gauge network.  For Lake Superior this consists of: Marquette and Point Iroquois, MI; Duluth, MN; Michipicoten and Thunder Bay, Ontario",,,,,,,,,,,,
Reference: https://www.lre.usace.army.mil/Missions/Great-Lakes-Information/Great-Lakes-Information-2/Water-Level-Data/,,,,,,,,,,,,
Note:  The originial data has been modified after conversion to metric units for consistency within the entire data set provided.,,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,183.16,183.08,183.08,183.12,183.16,183.24,183.33,183.31,183.27,183.2,183.15,183.06
2001,182.98,182.94,182.91,183.01,183.24,183.33,183.36,183.39,183.37,183.3,183.29,183.3
2002,183.22,183.14,183.11,183.14,183.26,183.31,183.36,183.4,183.42,183.44,183.36,183.26
2003,183.16,183.07,183.03,183.08,183.18,183.23,183.26,183.29,183.27,183.26,183.23,183.19
2004,183.14,183.07,183.07,183.13,183.23,183.35,183.4,183.42,183.46,183.47,183.46,183.38
2005,183.32,183.27,183.22,183.26,183.31,183.39,183.42,183.38,183.35,183.38,183.35,183.3
2006,183.24,183.18,183.12,183.16,183.24,183.3,183.31,183.3,183.2,183.13,183.04,182.98
2007,182.92,182.83,182.79,182.85,182.87,182.94,183,183.01,183.02,183.18,183.18,183.11
2008,183.08,183.03,182.97,183.01,183.18,183.29,183.41,183.42,183.37,183.32,183.27,183.19
2009,183.14,183.1,183.09,183.12,183.24,183.3,183.34,183.39,183.42,183.36,183.35,183.3
2010,183.21,183.14,183.09,183.08,183.08,183.13,183.19,183.2,183.22,183.19,183.14,183.07
2011,183,182.93,182.87,182.91,183.04,183.15,183.25,183.28,183.23,183.21,183.16,183.09
2012,183.01,182.94,182.93,183,183.06,183.2,183.3,183.27,183.2,183.12,183.1,183.05
2013,182.98,182.94,182.9,182.92,183.11,183.26,183.37,183.44,183.48,183.45,183.4,183.35
2014,183.29,183.24,183.23,183.27,183.47,183.6,183.66,183.67,183.7,183.71,183.67,183.6
2015,183.54,183.47,183.42,183.44,183.53,183.63,183.68,183.68,183.69,183.6,183.58,183.59
2016,183.55,183.49,183.46,183.48,183.5,183.61,183.69,183.7,183.7,183.68,183.59,183.54
2017,183.47,183.43,183.39,183.41,183.56,183.67,183.75,183.78,183.8,183.81,183.78,183.72
2018,183.65,183.58,183.54,183.47,183.5,183.56,183.65,183.65,183.7,183.77,183.76,183.67
2019,183.62,183.58,183.57,183.61,183.77,183.84,183.86,183.86,183.86,183.88,183.81,183.74
2020,183.71,183.64,183.57,183.62,183.64,183.7,183.76,183.81,183.79,183.76,183.71,183.63
2021,183.54,183.46,183.42,183.48,183.51,183.55,183.56,183.54,183.51,183.48,183.38,183.31
2022,183.24,183.17,183.15,183.24,183.44,183.57,183.62,183.65,183.65,183.6,183.6,183.57
