Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,5180,4980,5030,5320,5570,5740,5830,5750,5530,5380,5410,5350
2001,5050,5210,5270,5390,5540,5400,5220,5210,5020,5260,5130,5480
2002,5470,5770,5690,5890,6160,6020,5750,5540,5350,5270,5310,5340
2003,5100,4950,5020,5180,5610,5590,5640,5670,5450,5410,5440,5490
2004,5590,5200,5440,5690,5960,6030,6010,5960,5790,5680,5610,5800
2005,6030,6070,6090,6300,6250,6000,5790,5540,5420,5280,5570,5420
2006,5550,5870,5710,5720,5760,5520,5880,5700,5600,5940,5710,6150
2007,6410,5730,5970,5990,6160,5710,5430,5520,5440,5300,5220,5440
2008,5610,5430,6020,6270,6220,5930,6070,5790,5530,5470,5460,5830
2009,5610,5760,6100,6270,6420,6100,6250,6140,5830,5780,5600,5850
2010,5540,5230,5340,5630,5810,5990,5910,5650,5430,5340,5280,5400
2011,5080,4910,5540,5810,6420,6550,6180,6110,5820,6030,6010,6570
2012,6690,6480,6250,6040,5730,5660,5440,5320,5130,5030,5220,5090
2013,5390,5270,5260,5460,5570,5630,5910,5850,5590,5720,5750,5660
2014,5300,5280,5360,5780,6190,6090,6130,6040,6000,6040,6130,5970
2015,5810,5550,5450,5900,6070,6420,6930,6760,6370,6160,6210,5990
2016,6320,6270,6360,6690,6840,6610,6500,6280,6020,5990,6160,6300
2017,6320,6540,6510,6880,7320,7200,7170,6940,6580,6610,6820,6800
2018,6320,6540,6900,7240,7400,7270,7050,6930,6660,6760,6990,6920
2019,6980,6820,6810,7060,7850,8070,7830,7650,7280,7150,7200,7190
2020,7530,7700,7660,7920,7830,7790,7700,7420,7170,7020,7170,7200
2021,---,---,---,---,---,---,---,---,---,---,---,---
2022,---,---,---,---,---,---,---,---,---,---,---,---
