Ottawa River - Flow at Carillon,,,,,,,,,,,,
Units: cubic meters per second,,,,,,,,,,,,
Summary: The Ottawa River has 50 major dams and hydro-electric generating stations and link with 13 large reservoirs. These reservoirs store a significant portion of the spring runoff to reduce downstream (mainly Montreal harbor) flooding.  Carillion is the last observation station along the Ottawa River before the water flows into the St. Lawrence River.  ,,,,,,,,,,,,
Reference: https://ottawariver.ca/information/historical-water-level-streamflow-summary/ottawa-river-at-carillon/,,,,,,,,,,,,
Note: --- means that no data is available for that date.,,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,2090,2003,2382,2847,2712,1842,1559,1392,1226,1016,1098,1485
2001,1449,1657,1518,2872,1756,1439,1016,668,822,1837,2561,2798
2002,2185,1970,2354,4171,3951,3691,1858,1105,886,826,900,956
2003,1167,1249,1488,2373,1868,1725,1127,1487,1008,1816,3266,3096
2004,2470,2040,2289,3217,3865,1936,1875,1091,1255,881,1095,1575
2005,1942,1736,1373,4141,2499,1570,993,780,698,1068,1614,2258
2006,2201,2308,2468,4144,2444,1568,1427,1360,1201,2591,3377,3299
2007,2823,2176,2049,2841,1722,1979,1411,826,720,707,849,1221
2008,2513,2243,2140,4783,3228,2027,2318,2182,1472,1323,1793,2085
2009,2336,2220,2550,4193,3358,2244,1951,1886,1169,1349,1916,1936
2010,1872,1949,2308,1614,948,789,730,640,981,1896,1867,2711
2011,2224,2010,2477,3423,3640,2106,1465,899,832,876,1157,1881
2012,1924,1909,3248,2315,1692,987,620,614,703,1223,2052,1843
2013,2037,2370,2180,4037,4533,3244,1393,942,992,1440,2745,1980
2014,2038,1991,1470,3749,4613,2368,1341,1120,1492,2300,2461,2302
2015,2188,2008,1571,2929,2391,1724,1046,989,1057,874,1432,2408
2016,2785,2588,3713,4843,3204,1900,1059,932,822,892,978,1582
2017,1967,2187,3240,5650,6337,3253,2622,1540,1599,1335,2645,2273
2018,2435,2407,2144,2535,4467,2435,1218,1313,1809,2244,2508,2251
2019,2272,2347,2184,5404,7731,3964,1563,828,792,1054,2116,1741
2020,2202,2128,2885,4761,2930,2049,1325,1531,1666,2182,2520,2501
2021,2447,2262,2783,2182,1304,836,1413,1049,1089,2006,1839,2087
2022,2148,2014,2472,4317,3990,3599,1605,1285,---,1462,1449,1840
