YYYY,       Jan,       Feb,       Mar,       Apr,       May,       Jun,       Jul,       Aug,       Sep,       Oct,       Nov,       Dec
1940,    39.430,    25.250,    31.680,    53.980,    98.410,    95.350,    56.750,    53.950,    43.020,    47.620,    90.570,    39.800
1941,    45.760,    42.530,    20.530,    67.730,    79.600,    86.360,    70.890,   124.760,   160.610,    91.560,    45.380,    47.180
1942,    36.220,    25.240,    56.560,    47.860,    95.080,    55.900,    87.450,    89.230,   101.370,    83.890,    64.990,    47.580
1943,    47.450,    33.330,    34.930,    39.180,    86.000,   138.940,    57.460,    81.450,    50.890,    53.280,    60.980,    30.820
1944,    22.460,    33.530,    62.940,    28.060,    92.770,   146.960,   109.660,   110.540,    76.930,    31.880,    70.010,    43.940
1945,    36.230,    56.170,    41.130,    76.910,    48.970,    75.320,    71.870,   105.240,    86.440,    40.300,    79.720,    52.380
1946,    62.730,    49.640,    29.130,    43.040,    63.800,    98.320,    46.430,    76.930,    92.560,   104.390,    66.860,    54.940
1947,    48.170,    45.190,    24.120,    80.670,    71.580,   119.040,    52.150,    57.830,    93.940,    15.870,    74.630,    46.700
1948,    50.730,    31.800,    52.820,    84.020,    22.980,    61.400,    79.580,    69.190,    35.440,    43.940,    99.540,    65.670
1949,    67.600,    47.960,    51.580,    17.740,    80.150,   104.620,   107.120,    51.650,    79.140,    99.960,    66.250,    37.920
1950,    82.830,    33.340,    51.690,    67.460,    85.600,   106.420,    84.880,    73.700,    52.760,    71.580,    96.120,    53.660
1951,    28.980,    56.820,    77.970,    55.180,    46.450,   113.300,    57.250,   107.460,   124.670,    79.550,    56.680,    42.600
1952,    49.540,    21.920,    50.090,    42.400,    52.090,   107.280,   136.060,    87.360,    36.730,    27.510,    56.790,    34.270
1953,    52.900,    46.330,    51.000,    54.130,   112.120,   111.840,    91.360,    89.110,    82.050,    22.980,    54.680,    62.680
1954,    59.020,    36.270,    49.370,    89.260,    99.990,    80.230,    44.440,    64.060,    95.000,    66.350,    37.320,    20.920
1955,    41.770,    41.310,    72.890,    39.850,    70.590,    58.180,    95.100,    87.850,    94.810,    97.160,    84.760,    52.720
1956,    37.250,    20.460,    23.340,    44.840,    84.010,    74.610,    73.210,    75.550,    69.910,    29.620,    70.160,    68.140
1957,    35.200,    36.850,    38.120,    57.290,    56.930,   100.940,    64.150,    48.090,   118.460,    30.730,    93.210,    40.030
1958,    39.620,    20.470,    18.130,    38.630,    52.270,    98.110,    93.970,   106.400,    79.590,    46.080,    98.790,    49.030
1959,    31.760,    21.110,    32.540,    33.380,   108.140,    65.290,    64.240,   147.730,   123.890,    92.270,    55.680,    37.260
1960,    47.250,    29.980,    27.100,   103.610,    89.950,    69.930,    70.880,    77.850,    77.710,    65.440,    79.920,    39.140
1961,    21.910,    37.740,    51.460,    46.250,    79.750,    59.070,    73.490,    56.410,   133.790,    60.500,    62.500,    50.320
1962,    47.410,    56.260,    19.760,    50.410,    98.650,    49.580,    58.080,   108.750,    90.400,    33.120,    30.180,    56.450
1963,    32.070,    29.050,    41.000,    58.400,    63.470,    96.970,    55.980,    76.340,    57.370,    24.380,    66.380,    57.300
1964,    54.520,    28.290,    39.590,    79.730,   110.010,   117.630,    56.030,   116.440,   106.330,    56.670,    59.800,    60.860
1965,    42.620,    57.670,    37.230,    38.260,   102.240,    66.350,    76.480,    84.460,   140.530,    59.180,   103.800,    53.720
1966,    52.970,    28.970,    71.190,    46.910,    41.680,    54.720,    71.750,   120.940,    51.780,    97.430,    63.550,    58.160
1967,    64.930,    35.720,    36.380,    67.340,    32.790,    96.700,    62.800,    93.780,    34.590,    97.150,    50.670,    43.340
1968,    32.540,    31.940,    60.190,    89.990,    73.480,   141.940,   142.260,    80.990,   106.150,   104.680,    34.130,    92.420
1969,    87.640,    20.210,    15.950,    49.480,    66.890,    75.630,    63.750,    73.760,    65.930,    79.950,    42.510,    53.430
1970,    54.910,    28.640,    27.300,    58.780,   125.270,    58.810,   102.180,    43.390,   119.440,   127.980,    74.910,    62.060
1971,    60.590,    66.040,    45.510,    29.670,   101.900,    70.880,    79.290,    58.930,    95.150,   119.920,    79.630,    61.300
1972,    82.210,    43.000,    65.320,    32.470,    50.340,    62.150,   117.950,   117.210,    97.400,    42.800,    52.680,    61.540
1973,    40.310,    32.370,    54.130,    43.990,    95.100,   105.220,    89.530,   108.870,    89.540,    57.810,    66.670,    53.600
1974,    50.120,    31.200,    32.230,    71.710,    76.480,    93.300,    80.650,   120.400,    77.380,    66.160,    76.200,    35.900
1975,    92.470,    39.910,    49.480,    39.450,    49.400,   109.040,    58.450,    54.430,    79.710,    60.950,   107.470,    50.120
1976,    77.000,    57.380,    93.200,    40.730,    26.880,    95.570,    54.750,    33.230,    38.050,    38.980,    42.770,    60.350
1977,    50.270,    44.360,   103.560,    50.780,    54.550,    96.270,    90.970,   134.960,   144.570,    60.070,    79.530,    67.270
1978,    41.710,    18.170,    24.110,    36.840,    84.120,    75.340,   120.380,   107.360,    75.840,    45.860,    66.840,    60.360
1979,    42.440,    51.990,   107.070,    40.830,    94.930,   100.130,    80.100,    92.130,    69.540,   121.380,    54.860,    42.240
1980,    81.220,    22.140,    34.200,    39.180,    38.870,    67.640,    82.280,   100.450,   140.900,    70.580,    35.830,    55.740
1981,    29.160,    63.280,    35.260,    64.830,    54.830,   140.700,    42.640,    52.390,    54.710,    96.970,    27.900,    67.800
1982,    79.270,    21.070,    39.820,    53.720,    76.350,    55.330,   134.860,    83.830,   109.310,   119.360,    75.890,    69.310
1983,    45.160,    29.090,    45.290,    43.490,    74.140,    56.460,    77.070,    75.160,   125.420,   105.370,    94.690,    64.440
1984,    41.730,    30.000,    36.690,    44.470,    51.550,   135.720,    74.090,    79.690,    92.950,    79.700,    43.330,    82.180
1985,    43.820,    42.200,    44.450,    49.580,    96.920,    75.370,    96.640,   107.930,   158.680,    76.170,   110.840,    54.350
1986,    40.740,    30.970,    47.460,    54.730,    41.650,   111.060,    95.050,    97.400,    96.000,    70.260,    65.470,    33.370
1987,    28.560,    18.790,    24.000,    18.650,    77.720,    45.120,   127.620,   106.050,    75.250,    78.760,    55.890,    47.090
1988,    59.140,    38.390,    57.550,    24.280,    62.740,    63.440,    66.690,   177.760,    85.360,    85.900,   106.760,    65.070
1989,    64.190,    36.400,    43.300,    33.320,    63.830,   100.240,    35.210,    92.850,    56.670,    55.870,    63.740,    57.770
1990,    49.700,    32.260,    37.680,    59.180,    57.220,   124.930,    76.830,    58.370,    92.690,   103.530,    44.300,    47.250
1991,    52.970,    21.100,    58.840,    65.570,    80.410,    79.370,   104.670,    48.200,   121.400,   101.620,   102.760,    43.240
1992,    41.600,    36.450,    22.360,    58.410,    66.000,    60.450,   114.240,    97.410,   130.910,    52.210,    63.460,    78.820
1993,    41.890,    10.030,    18.510,    73.680,   101.780,    80.140,   130.930,    76.820,    85.620,    72.320,    48.950,    36.680
1994,    48.470,    15.810,    34.380,    70.340,    70.040,    84.000,    95.620,    95.800,    77.220,    54.710,    58.080,    17.460
1995,    41.750,    46.130,    33.920,    45.750,    87.610,    38.300,   116.510,    82.150,   124.560,   140.780,    65.810,    61.110
1996,    90.420,    58.720,    33.110,    70.280,    48.120,    88.750,   126.990,    74.320,    88.340,   104.600,    72.210,    69.130
